OrderID,ProductID,Quantity,UnitPrice
1,153,2,102.13
2,182,5,624.33
2,31,5,213.22
3,29,4,577.17
3,179,1,904.1
3,48,3,597.91
4,178,1,176.58
4,171,3,576.78
4,198,3,254.89
4,83,3,783.73
4,66,1,120.31
4,42,2,284.79
4,200,2,826.61
5,28,4,730.05
5,37,1,609.21
5,139,1,425.26
5,197,3,730.03
5,111,1,13.95
5,56,2,809.95
5,158,1,718.16
5,165,4,350.0
6,39,4,207.4
6,180,4,809.61
6,85,1,790.43
6,101,1,159.85
6,148,4,269.13
7,146,3,1016.71
7,138,3,235.96
8,15,4,458.64
8,162,3,61.39
8,166,2,812.22
8,24,4,668.0
8,94,3,671.82
8,137,1,394.76
8,88,3,843.6
9,22,5,435.13
9,162,4,52.04
9,113,5,580.27
9,189,4,901.52
9,49,4,115.93
9,36,1,175.81
9,10,1,132.95
9,50,1,222.67
10,31,5,269.67
10,55,5,362.29
10,168,1,781.37
10,171,2,511.35
10,134,1,111.05
10,118,5,205.19
10,174,2,73.04
11,45,3,862.91
12,117,5,268.27
12,157,1,344.3
13,128,2,34.75
13,153,2,83.89
14,87,2,161.34
14,189,2,813.87
14,174,5,92.39
14,103,1,571.86
14,84,2,253.99
14,31,2,261.08
14,176,5,74.23
15,113,1,575.53
15,63,5,79.58
15,149,2,557.36
16,125,1,719.9
17,23,3,457.4
17,181,4,445.97
17,167,2,838.66
18,164,2,627.37
18,70,5,935.64
18,134,5,118.19
19,184,3,975.3
19,128,1,30.22
19,157,2,406.55
20,136,5,601.4
20,25,4,315.23
21,71,4,72.73
21,14,2,126.79
21,50,1,247.31
21,29,3,537.78
22,54,4,180.68
22,112,1,138.18
22,65,2,724.35
22,86,1,498.56
22,158,1,681.86
23,61,5,553.11
23,185,2,251.56
24,59,2,260.87
24,200,2,767.39
24,29,5,541.63
24,84,4,287.12
24,26,5,694.67
24,61,4,554.92
25,35,2,109.26
25,118,1,196.34
25,185,1,282.35
25,50,1,218.44
25,162,4,63.02
25,92,3,393.34
26,76,2,116.1
26,155,5,33.26
26,41,1,814.46
26,164,5,619.57
27,56,2,773.5
27,152,4,254.38
27,122,5,33.63
27,119,5,121.13
27,72,4,273.96
27,4,1,112.41
27,187,5,190.26
27,110,5,516.78
28,123,1,778.1
28,179,4,912.98
28,26,2,893.56
28,116,2,142.12
28,127,1,310.35
28,62,3,572.0
28,22,4,457.19
29,117,2,295.99
30,48,1,637.99
30,95,3,249.88
30,161,3,217.41
30,119,3,103.69
30,181,5,486.74
30,163,2,125.29
30,1,1,771.14
31,189,3,756.5
31,15,1,522.9
31,132,2,854.94
31,173,1,277.44
31,94,2,651.64
31,14,3,112.4
32,139,5,535.84
32,30,2,492.73
32,167,2,853.85
32,123,3,720.68
33,71,1,66.53
33,14,5,125.7
33,17,5,666.96
33,96,4,494.95
33,89,1,669.15
33,116,4,134.13
33,125,4,721.63
34,74,1,242.72
34,20,4,379.91
34,28,2,741.69
35,76,5,98.9
36,122,1,32.22
36,89,1,602.09
36,108,2,514.53
37,106,5,264.47
37,149,4,642.68
37,88,5,799.44
37,168,3,754.14
37,166,3,695.57
37,84,3,263.65
38,198,2,217.3
38,13,2,797.39
38,38,3,608.05
38,91,2,498.38
38,73,2,477.64
39,61,5,650.7
39,30,3,389.01
39,11,2,92.74
40,171,3,564.32
41,96,5,505.5
41,115,1,744.64
41,139,4,483.45
42,118,5,174.66
42,82,3,468.51
42,40,3,679.49
43,75,1,833.1
43,194,1,778.49
43,147,5,346.83
43,171,1,526.48
43,38,2,552.22
43,145,1,127.0
43,187,5,155.68
43,114,5,119.83
44,197,4,620.06
44,72,1,256.96
44,51,4,1035.35
44,6,3,617.01
45,171,2,572.67
46,95,4,243.59
46,99,1,289.52
46,96,4,400.05
46,4,4,105.06
46,73,3,472.79
46,89,4,576.1
46,90,4,131.07
47,151,3,403.37
47,154,5,299.03
47,23,1,512.52
48,23,5,452.08
48,2,2,152.07
48,105,4,233.7
48,164,4,594.97
48,70,3,703.11
48,107,3,756.72
48,45,4,826.67
49,7,4,203.14
49,1,3,623.02
49,40,4,632.31
49,68,2,212.8
50,31,4,261.63
51,154,4,288.28
51,191,3,139.95
52,178,1,182.3
52,31,4,214.46
52,96,2,492.02
52,132,1,852.63
52,188,4,864.96
52,148,3,291.35
52,5,3,493.65
52,67,1,458.28
53,197,2,622.52
53,161,3,218.28
53,47,3,169.05
53,196,3,737.37
54,137,2,354.34
54,149,5,490.83
55,96,2,497.93
55,200,2,698.5
55,125,2,830.65
55,106,5,290.38
55,88,5,839.2
56,107,1,774.32
56,118,1,227.92
57,90,3,132.42
57,80,3,328.03
57,177,1,442.46
57,93,2,457.22
57,36,3,162.33
57,114,2,101.14
57,153,4,112.1
57,134,1,118.16
58,5,4,572.83
58,199,1,615.0
59,169,1,254.34
60,31,1,210.68
60,65,2,723.39
60,12,2,828.87
60,17,3,568.56
60,78,2,333.49
60,171,3,664.36
60,3,3,644.9
60,194,5,691.57
61,130,1,374.03
61,146,2,902.04
61,18,2,933.24
61,26,5,881.63
62,186,2,327.66
63,94,4,706.96
63,179,5,839.86
63,151,1,415.41
63,48,3,620.09
63,113,1,593.16
63,173,4,266.69
63,28,3,902.76
63,47,1,156.0
64,84,3,253.53
64,127,3,292.49
65,58,3,974.21
65,142,4,273.87
65,105,4,272.25
65,75,1,860.65
65,110,4,533.16
65,49,5,111.1
65,18,2,936.66
65,122,2,28.29
66,52,3,832.21
66,153,5,105.46
66,104,4,912.01
66,32,5,244.93
66,60,4,33.43
66,109,2,470.65
67,28,1,709.9
67,32,4,283.36
67,65,2,674.59
67,126,3,189.88
67,128,5,28.27
67,60,1,30.41
67,161,5,226.26
67,35,4,103.02
68,76,5,101.73
68,170,5,579.12
68,128,1,32.22
68,126,1,227.75
69,116,3,133.59
69,81,2,987.89
69,97,2,439.32
69,114,4,107.92
69,118,1,206.25
69,10,4,159.1
69,9,5,699.76
70,122,4,33.75
70,144,3,402.28
70,41,3,793.98
70,130,1,320.48
70,15,2,543.79
70,101,3,174.65
70,68,5,207.01
70,127,3,252.22
71,25,2,330.49
71,110,3,555.25
71,89,1,663.36
71,92,1,450.81
71,106,1,252.01
71,90,1,123.73
71,15,4,522.16
72,69,3,350.32
72,6,4,698.55
72,179,2,751.81
72,121,5,780.04
72,151,3,499.22
72,82,3,364.45
72,97,4,421.49
73,128,3,28.88
73,163,5,105.97
73,20,2,346.58
73,138,1,258.86
74,152,5,256.61
74,87,4,172.54
75,54,5,161.31
75,89,4,606.54
75,20,5,346.61
75,167,5,794.47
75,78,1,352.21
75,130,5,353.45
75,77,5,1026.31
76,55,4,452.85
76,170,1,692.82
76,191,3,138.08
76,120,2,914.42
76,69,3,304.88
76,164,4,706.61
76,137,1,350.47
76,158,4,714.07
77,74,4,280.14
77,166,2,711.92
77,42,2,257.75
77,66,3,146.49
77,176,5,69.11
78,109,3,399.23
78,166,2,814.89
78,10,1,162.81
78,52,4,890.75
78,41,1,797.63
78,70,1,915.26
78,35,3,89.41
79,105,1,272.22
79,94,2,618.55
80,29,5,711.5
80,147,5,411.7
80,189,5,984.93
80,129,1,293.28
81,154,5,285.19
81,32,2,275.82
81,198,2,250.68
81,81,2,781.93
82,71,1,74.12
82,113,3,671.12
82,105,1,274.5
82,66,4,126.17
83,175,1,407.25
83,64,5,79.63
83,72,1,207.6
83,38,2,604.24
83,93,4,462.07
83,122,3,30.83
83,184,1,962.59
83,95,2,262.16
84,100,2,782.94
84,3,3,639.04
84,101,4,176.77
84,66,3,146.17
84,78,4,437.05
84,24,4,650.71
84,194,3,823.13
84,61,1,601.57
85,179,4,742.66
85,67,5,468.67
85,130,4,365.25
86,196,2,682.31
87,165,1,315.28
87,35,5,84.73
87,1,2,754.59
87,103,4,707.47
87,52,3,848.76
87,161,2,212.01
87,79,5,760.52
87,81,3,971.78
88,22,4,494.64
88,107,5,780.53
88,95,1,236.74
88,47,5,173.71
89,23,2,472.48
89,119,5,91.08
89,51,3,879.89
89,68,3,167.69
90,146,4,955.61
90,31,4,262.28
90,4,4,107.7
91,58,3,775.37
91,183,4,664.82
92,34,4,227.84
92,111,2,11.53
92,53,3,110.86
92,154,4,276.26
92,56,3,812.4
92,73,4,442.71
92,187,4,143.16
93,83,4,725.58
93,178,5,217.45
93,102,1,271.37
94,14,2,120.19
95,91,5,510.87
95,156,4,562.42
95,172,2,86.82
95,154,5,346.0
95,182,2,614.07
95,192,5,52.48
95,12,3,804.74
95,2,2,157.52
96,82,2,411.24
96,182,3,663.8
97,33,3,853.68
98,111,2,12.07
98,73,4,406.28
98,68,2,204.28
98,157,4,406.3
98,195,2,615.63
98,133,2,152.47
99,121,4,760.36
100,30,4,438.98
100,127,2,260.24
100,11,1,85.22
100,114,3,103.98
100,92,2,363.05
100,182,3,774.81
100,144,5,395.7
101,150,4,434.49
101,2,2,159.41
101,135,1,753.54
101,197,1,801.28
102,175,1,419.84
102,32,2,283.9
102,101,4,134.37
102,96,4,485.41
102,152,3,272.38
103,85,5,818.73
104,84,1,272.43
104,188,5,1003.6
104,146,4,1021.47
104,34,3,188.0
104,55,4,366.02
104,13,2,668.89
104,165,4,275.13
104,73,2,402.11
105,77,3,1008.39
105,126,5,222.33
106,92,5,446.11
106,171,4,542.18
106,25,4,352.75
107,145,3,126.04
107,154,4,312.28
107,109,1,488.31
107,24,3,561.4
107,194,2,833.85
108,127,1,310.31
108,135,4,648.77
108,162,4,49.19
109,39,3,247.74
109,33,5,872.37
109,176,1,60.55
109,77,5,924.74
109,64,1,74.33
110,170,1,660.89
110,185,4,233.74
110,146,2,803.44
110,65,1,707.83
110,91,3,481.07
110,66,4,126.06
110,150,4,459.53
110,21,3,270.77
111,48,1,640.02
111,55,1,398.94
111,21,1,219.92
111,192,4,48.05
111,155,4,32.05
111,67,5,506.91
112,78,1,345.35
112,159,1,347.74
112,158,2,727.5
112,93,2,557.98
112,177,2,516.72
112,173,4,277.57
112,102,5,325.77
112,23,3,400.89
113,38,4,606.39
113,122,4,32.51
113,109,2,481.58
113,6,4,638.66
113,30,1,378.49
113,43,4,10.97
113,40,4,747.61
113,190,5,680.44
114,10,4,166.76
114,125,1,759.52
114,103,4,643.31
114,132,5,914.38
114,152,4,238.3
115,30,3,374.3
115,127,4,317.71
115,160,2,807.17
115,166,5,777.88
115,89,3,727.79
115,115,4,900.23
115,179,3,760.26
115,112,4,172.83
116,173,1,240.53
116,168,2,898.34
116,189,2,773.48
116,93,1,517.9
116,121,4,898.89
116,42,2,267.83
116,160,1,864.27
117,67,1,386.93
117,92,1,383.08
117,174,1,88.44
117,41,4,746.69
117,45,3,764.87
117,129,1,346.85
118,39,1,215.2
118,177,4,589.85
118,132,1,977.14
118,155,5,37.33
118,172,1,85.22
119,130,1,297.41
120,93,5,534.11
120,41,1,731.98
120,187,3,146.73
120,75,2,831.97
121,52,1,892.19
121,113,4,619.03
122,74,4,289.91
122,130,2,324.79
122,44,5,646.23
122,22,2,499.2
122,69,4,303.53
122,96,4,427.49
123,133,5,189.63
123,175,1,421.53
123,93,4,475.57
123,8,2,888.07
123,114,4,112.32
123,38,2,616.57
123,198,1,248.38
123,3,5,650.07
124,108,3,677.48
124,103,1,720.01
124,175,5,407.91
124,180,2,843.66
124,142,4,324.01
125,140,3,673.58
125,160,4,952.98
125,159,3,418.88
125,167,5,686.84
126,100,3,966.38
126,186,5,341.29
126,185,5,270.54
126,190,2,601.2
126,33,5,725.38
126,134,2,114.7
127,186,3,323.07
127,109,5,433.38
127,130,1,324.13
127,29,1,676.64
127,188,5,916.77
128,117,2,284.19
129,90,5,133.24
129,77,4,970.98
129,73,2,434.09
129,171,5,524.28
130,200,4,709.63
130,93,1,553.14
130,117,4,260.86
130,26,4,878.38
131,115,5,801.01
131,20,4,364.31
131,95,5,289.76
131,174,4,85.24
132,177,4,517.32
132,126,5,174.11
132,188,1,1038.75
132,107,4,726.44
132,42,2,283.13
132,37,3,650.4
132,130,1,384.98
132,33,4,881.28
133,31,1,246.91
133,95,1,261.17
134,79,2,898.34
134,96,4,478.9
134,78,3,335.89
134,76,2,114.05
134,125,4,746.72
134,8,5,649.57
135,18,3,830.82
135,12,4,878.22
135,107,5,756.7
135,124,2,140.76
135,147,4,391.99
135,80,4,396.15
136,187,5,180.31
136,84,2,280.31
136,23,3,500.4
137,172,3,92.51
138,43,3,10.66
138,182,1,731.98
139,50,1,237.8
139,159,5,441.02
140,193,5,183.55
140,122,1,29.49
140,129,2,295.61
140,5,5,529.38
141,22,1,570.36
141,137,2,352.97
141,156,5,568.69
141,83,3,645.64
141,103,1,555.26
141,151,3,460.51
141,12,3,715.89
141,126,2,213.9
142,105,2,295.82
142,174,1,72.54
142,44,1,679.8
142,16,4,521.09
142,158,3,770.12
143,31,5,221.35
143,14,4,137.01
143,52,3,887.21
143,62,4,581.53
143,193,1,212.05
143,153,4,96.83
143,151,1,473.69
144,142,2,330.04
144,151,4,426.47
144,173,5,260.52
144,26,2,709.12
144,64,2,73.09
145,138,4,213.02
145,109,5,537.25
145,143,2,454.06
145,116,4,125.31
146,154,2,334.04
146,65,5,655.84
146,175,2,344.2
146,98,5,84.32
146,90,1,105.64
147,179,5,781.92
147,32,3,293.66
147,36,3,171.81
147,186,4,391.23
147,143,3,451.57
147,72,4,231.18
147,111,3,14.68
148,178,1,180.42
149,2,4,140.23
149,3,1,571.65
149,173,4,268.28
149,45,3,873.26
149,106,4,305.23
149,143,3,536.74
149,179,1,829.72
149,181,3,403.81
150,114,3,97.32
150,3,3,597.06
150,57,5,273.18
150,191,2,142.54
151,127,5,295.85
151,93,2,455.12
151,10,4,179.53
151,72,3,213.45
152,44,2,749.73
152,142,2,262.91
152,50,2,252.93
152,169,5,234.04
152,190,5,704.11
152,145,3,138.54
152,173,1,239.25
